kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
9414381,1.26,0.1,0.11,2.13,0.08,0.08,0.13,0.0056,0.0052,3.8789999999999996,0.013000000000000001,0.011000000000000001,5.3,0.7,0.6,Chaplin et al. (2014)
9446628,1.33,0.17,0.13,1.97,0.1,0.1,0.1744,0.0134,0.0126,3.9739999999999998,0.023,0.024,4.0,1.0,1.2,Chaplin et al. (2014)
9451741,1.13,0.07,0.19,1.32,0.04,0.08,0.4869,0.0198,0.0189,4.242,0.016,0.02,6.1,4.6,1.8,Chaplin et al. (2014)
9457728,1.22,0.16,0.1,1.85,0.08,0.06,0.1924,0.0069,0.0067,3.989,0.019,0.015,4.8,0.7,1.4,Chaplin et al. (2014)
9458636,1.14,0.09,0.12,1.68,0.07,0.07,0.2411,0.0105,0.0102,4.044,0.017,0.018000000000000002,5.3,1.6,0.8,Chaplin et al. (2014)
9468847,1.18,0.12,0.12,1.8,0.07,0.07,0.2008,0.0069,0.007,3.9960000000000004,0.016,0.016,5.2,1.3,0.8,Chaplin et al. (2014)
9512063,1.21,0.14,0.17,2.08,0.11,0.11,0.1335,0.0079,0.0081,3.88,0.018000000000000002,0.018000000000000002,5.2,1.6,0.8,Chaplin et al. (2014)
9542776,1.51,0.23,0.15,2.51,0.19,0.17,0.097,0.0154,0.0151,3.824,0.044000000000000004,0.049,2.9,0.8,1.0,Chaplin et al. (2014)
9574283,1.15,0.17,0.16,2.87,0.18,0.18,0.0485,0.0026,0.0025,3.5810000000000004,0.011000000000000001,0.011000000000000001,5.8,3.3,1.5,Chaplin et al. (2014)
9579208,1.35,0.09,0.16,1.85,0.06,0.08,0.2098,0.0076,0.0073,4.027,0.013999999999999999,0.017,3.5,1.4,0.7,Chaplin et al. (2014)
9641837,1.38,0.17,0.12,2.24,0.11,0.08,0.122,0.0052,0.005,3.877,0.012,0.013999999999999999,3.8,1.0,0.9,Chaplin et al. (2014)
9664694,1.57,0.18,0.2,2.53,0.11,0.12,0.0972,0.0052,0.0046,3.8280000000000003,0.016,0.016,2.6,1.1,0.8,Chaplin et al. (2014)
9693187,0.93,0.1,0.1,1.41,0.06,0.06,0.3342,0.0107,0.0102,4.109,0.016,0.015,12.0,4.2,3.6,Chaplin et al. (2014)
9696358,1.37,0.17,0.12,2.1,0.09,0.08,0.1488,0.0083,0.0079,3.9330000000000003,0.02,0.022000000000000002,3.8,1.0,1.1,Chaplin et al. (2014)
9697131,1.4,0.15,0.12,1.91,0.07,0.07,0.2037,0.0085,0.0083,4.027,0.017,0.018000000000000002,3.1,0.9,0.9,Chaplin et al. (2014)
9700430,1.19,0.12,0.15,1.53,0.05,0.07,0.3374,0.0128,0.0128,4.148,0.017,0.02,4.7,2.3,1.4,Chaplin et al. (2014)
9702369,1.27,0.1,0.11,1.38,0.04,0.04,0.4872,0.0152,0.0147,4.263999999999999,0.013000000000000001,0.013999999999999999,2.0,1.2,1.0,Chaplin et al. (2014)
9702752,1.24,0.08,0.2,1.72,0.05,0.09,0.2389,0.0055,0.0056,4.052,0.011000000000000001,0.025,5.4,3.2,1.0,Chaplin et al. (2014)
9715099,1.43,0.16,0.14,2.52,0.08,0.1,0.0906,0.0037,0.0034,3.7939999999999996,0.021,0.019,3.6,0.8,1.0,Chaplin et al. (2014)
9754284,1.28,0.11,0.15,1.62,0.05,0.07,0.2982,0.0124,0.0119,4.121,0.017,0.019,3.8,1.4,1.1,Chaplin et al. (2014)
